Stock,Price,Weights
NFLX,104.63,19.142882632522
COST,188.91,17.677859667663792
LMT,131.77,15.127558459724497
UNH,337.25,12.619758460323725
NOC,243.63,11.394662132095272
HD,245.29,7.3621385386488125
TSLA,189.98,6.0553255988398575
LLY,184.54,5.745823005352895
MRNA,136.5,2.5781248983101372
MSFT,333.82,2.2958666065189903
NFLX,147.09,18.646825318206712
NOC,81.96,16.481654521982907
COST,354.15,13.782818089462657
UNH,351.59,13.215519231988296
LMT,228.35,11.846276620876317
TSLA,119.2,9.891666069543115
GS,334.7,5.8979803016322006
HD,326.14,4.1728469168070985
LLY,242.15,3.211525636837602
META,269.58,2.852887292663086
COST,159.59,22.175781973559488
UNH,344.63,14.789967020939635
NFLX,333.73,13.878039329075738
NOC,257.66,12.397018512422806
LMT,318.43,10.551128658762154
TSLA,205.86,7.192671474737633
GS,308.08,6.095098531594229
HD,288.47,5.893549997928922
LLY,255.4,3.758112378746474
GD,147.03,3.268632122232925
